ID,Dataset_ID,Language_ID,Name,Note,Other,Source,Category,Structure,Rating,Tag,Datatype,valueUrl
Brysbaert-2009-Frequency-ENGLISH_CD_LOG,Brysbaert-2009-Frequency,eng,,This value is based on log10(CDcount+1) and has four-digit precision.,,,norms,logarithmic,corpus,contextual diversity,"""decimal""",
Brysbaert-2011-Frequency-GERMAN_FREQUENCY,Brysbaert-2011-Frequency,deu,,This is the number of times the word as written in column 1 is encountered in the subtitle corpus.,,,norms,tokens,corpus,frequency,"""nonNegativeInteger""",
Brysbaert-2011-Frequency-GERMAN_FREQUENCY_PM,Brysbaert-2011-Frequency,deu,,"This is the frequency per million words based on CUMfreqcount (i.e., it equals CUMfreqcount / 25.399).",per million,,norms,tokens,corpus,frequency,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""1000000""}",
Brysbaert-2011-Frequency-GERMAN_FREQUENCY_LOG,Brysbaert-2011-Frequency,deu,,"This is log10(CUMfreqcount+1). It is the value to use when you want to match stimuli in various conditions. When a stimulus is not present in the corpus, lgSUBTLEX gets a value of 0.",,,norms,logarithmic,corpus,frequency,"""decimal""",
Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,Brysbaert-2014-Concreteness,eng,,The mean concreteness rating on a 5-point rating scale going from abstract to concrete.,,,ratings,mean,user,concreteness,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Brysbaert-2014-Concreteness-ENGLISH_DUNNO,Brysbaert-2014-Concreteness,eng,,The number of persons indicating they did not know the word.,dunno,,ratings,cardinality,user,familiarity,"""nonNegativeInteger""",
Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,Brysbaert-2019-Prevalence,eng,,"The percentages of words known across 220,000 participants.",known,,ratings,percentage,user,familiarity,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""1""}",
Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence,eng,,"The word prevalence (number of people who know the word) across 220,000 participants.",prevalence,,ratings,normalized,user,familiarity,"""decimal""",
Cai-2010-Frequency-CHINESE_FREQUENCY,Cai-2010-Frequency,zho,,The number of times the word appears in the corpus of 1.3 million words.,,,norms,tokens,corpus,frequency,"""integer""",
Cai-2010-Frequency-CHINESE_FREQUENCY_PM,Cai-2010-Frequency,zho,,"The word frequency per million words. It is the measure one would preferably use in ones manuscripts, because it is a standard measure of word frequency independent of the corpus size. It is given with two-digit precision, in order not to lose precision of the frequency counts.",per million,,norms,numeric,corpus,frequency,"""string""",
Cai-2010-Frequency-CHINESE_FREQUENCY_LOG,Cai-2010-Frequency,zho,,"This value is based on log10(FREQcount+1) and has four-digit precision. Calculating the log frequency on the raw frequencies is the most straightforward transformation, because it allows one to give words that are not in the corpus a value of 0.",,,norms,logarithmic,corpus,frequency,"""decimal""",
Cai-2010-Frequency-CHINESE_CD,Cai-2010-Frequency,zho,,"The number of films in which the word appears (on a maximum of 6,243).",,,norms,tokens,corpus,contextual diversity,"""nonNegativeInteger""",
Cai-2010-Frequency-CHINESE_CD_PERCENTAGE,Cai-2010-Frequency,zho,,This  indicates in what percentage of the films the word appears.,,,norms,percentage,corpus,contextual diversity,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""100""}",
Cai-2010-Frequency-CHINESE_CD_LOG,Cai-2010-Frequency,zho,,This value is based on log10(CDcount+1) and has four-digit precision.,,,norms,logarithmic,corpus,contextual diversity,"""decimal""",
Cuetos-2011-Frequency-SPANISH_FREQUENCY,Cuetos-2011-Frequency,spa,,This is the number of times the word appears in the corpus of 41 million words.,,,norms,tokens,corpus,frequency,"{""base"": ""nonNegativeInteger"", ""maximum"": ""41000000""}",
Cuetos-2011-Frequency-SPANISH_FREQUENCY_PM,Cuetos-2011-Frequency,spa,,Word frequency per million of words.,per million,,norms,normalized,corpus,frequency,"{""base"": ""decimal"", ""maximum"": ""1000000""}",
Cuetos-2011-Frequency-SPANISH_FREQUENCY_LOG,Cuetos-2011-Frequency,spa,,Log10 of subtitle word frequency.,,,norms,logarithmic,corpus,frequency,"""decimal""",
Desrochers-2009-SubjFrequency-FRENCH_SUBJECTIVE_FREQUENCY,Desrochers-2009-SubjFrequency,fra,,Subjective frequencies estimates were based on a 7-point rating scale.,subjective,,ratings,mean,user,frequency,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Desrochers-2009-SubjFrequency-FRENCH_IMAGEABILITY_MEAN,Desrochers-2009-SubjFrequency,fra,,Imageability estimates were based on a 7-point rating scale.,,,ratings,mean,user,imageability,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Engelthaler-2018-Humor-ENGLISH_HUMOR_MEAN,Engelthaler-2018-Humor,eng,,This is the mean value of the ratings on a 5-point scale (1 (humorless) to 5 (humorous)) for all participants.,,,ratings,mean,user,humor,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Engelthaler-2018-Humor-ENGLISH_HUMOR_MEAN_MALE,Engelthaler-2018-Humor,eng,,This is the mean value of the ratings on a 5-point scale (1 (humorless) to 5 (humorous)) for male participants.,male,,ratings,mean,user,humor,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Engelthaler-2018-Humor-ENGLISH_HUMOR_MEAN_FEMALE,Engelthaler-2018-Humor,eng,,This is the mean value of the ratings on a 5-point scale (1 (humorless) to 5 (humorous)) for female participants.,female,,ratings,mean,user,humor,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Engelthaler-2018-Humor-ENGLISH_HUMOR_MEAN_YOUNG,Engelthaler-2018-Humor,eng,,This is the mean value of the ratings on a 5-point scale (1 (humorless) to 5 (humorous)) for young participants (with age above 32).,young,,ratings,mean,user,humor,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Engelthaler-2018-Humor-ENGLISH_HUMOR_MEAN_OLD,Engelthaler-2018-Humor,eng,,This is the mean value of the ratings on a 5-point scale (1 (humorless) to 5 (humorous)) for old participants (with age under 32).,old,,ratings,mean,user,humor,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Juhasz-2013-SER-ENGLISH_SER_MEAN,Juhasz-2013-SER,eng,,Sensory experience ratings on a 7-point scale.,,,ratings,mean,user,sensory experience,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Keuleers-2010-Frequency-DUTCH_FREQUENCY,Keuleers-2010-Frequency,nld,,This is the number of times the word appears in the corpus of 42 million words.,,,norms,tokens,corpus,frequency,"{""base"": ""nonNegativeInteger"", ""maximum"": ""42000000""}",
Keuleers-2010-Frequency-DUTCH_CD,Keuleers-2010-Frequency,nld,,This  is the number of films in which the word appears.,,,norms,tokens,corpus,contextual diversity,"""integer""",
Keuleers-2010-Frequency-DUTCH_FREQUENCY_PM,Keuleers-2010-Frequency,nld,,This is the word frequency per million words and has 4-digit precision.,per million,,norms,tokens,corpus,frequency,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""1000000""}",
Keuleers-2010-Frequency-DUTCH_FREQUENCY_LOG,Keuleers-2010-Frequency,nld,,This is a value based on log10(FREQcount+1) and with 4-digit precision.,,,norms,logarithmic,corpus,frequency,"""decimal""",
Keuleers-2010-Frequency-DUTCH_SUBTITLE_CD,Keuleers-2010-Frequency,nld,,"This value indicates in what percent of the films the word appears (on a maximum of 8,070), with 4-digit precision.",subtitle,,norms,numeric,corpus,contextual diversity,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""100""}",
Keuleers-2010-Frequency-DUTCH_CD_LOG,Keuleers-2010-Frequency,nld,,This value is based on log10(CDcount +1) and has 4-digit precision.,,,norms,logarithmic,corpus,contextual diversity,"""decimal""",
Kuperman-2012-AoA-ENGLISH_OCCURRENCES_TOTAL,Kuperman-2012-AoA,eng,,This is the number of valid age of acquisition-ratings of the word in the trimmed data.,total,,ratings,numeric,user,AoA,"""nonNegativeInteger""",
Kuperman-2012-AoA-ENGLISH_OCCURRENCES_NUM,Kuperman-2012-AoA,eng,,"This is the number of valid age of acquisition-ratings of the word, counting only numeric ratings, not 'don't know's.",number,,ratings,numeric,user,AoA,"""nonNegativeInteger""",
Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Kuperman-2012-AoA,eng,,"This is the mean of the age of acquisition-ratings of the word. A total of 696,048 valid ratings, including 76,211 'don't know's, were collected from 1,729 inhabitants of the US. For each word, the participants were asked to enter the age (in years) at which they thought they had learned the word.",,,ratings,mean,user,AoA,"""decimal""",
Kuperman-2012-AoA-ENGLISH_DUNNO,Kuperman-2012-AoA,eng,,This is the proportion of valid responses that are a rating and not a 'don't know'.,dunno,,ratings,percentage,user,familiarity,"""float""",
Riegel-2015-AffectiveRatings-POLISH_VALENCE_MEAN_MALE,Riegel-2015-AffectiveRatings,pol,,This is the mean of the valence ratings for each word obtained in the group of men on a 7-point scale (with -3 the lowest and +3 the highest value).,male,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""-3"", ""maximum"": ""3""}",
Riegel-2015-AffectiveRatings-POLISH_VALENCE_MEAN_FEMALE,Riegel-2015-AffectiveRatings,pol,,This is the mean of the valence ratings for each word obtained in the group of women on a 7-point scale (with -3 the lowest and +3 the highest value).,female,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""-3"", ""maximum"": ""3""}",
Riegel-2015-AffectiveRatings-POLISH_VALENCE_MEAN,Riegel-2015-AffectiveRatings,pol,,This is the mean of the valence ratings for each word obtained in the whole group on a 7-point scale (with -3 the lowest and +3 the highest value).,,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""-3"", ""maximum"": ""3""}",
Riegel-2015-AffectiveRatings-POLISH_AROUSAL_MEAN_MALE,Riegel-2015-AffectiveRatings,pol,,This is the mean of the arousal ratings for each word obtained in the group of men on a 5-point scale indicated by a SAM scale.,male,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Riegel-2015-AffectiveRatings-POLISH_AROUSAL_MEAN_FEMALE,Riegel-2015-AffectiveRatings,pol,,This is the mean of the arousal ratings for each word obtained in the group of women on a 7-point scale.,female,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Riegel-2015-AffectiveRatings-POLISH_AROUSAL_MEAN,Riegel-2015-AffectiveRatings,pol,,This is the mean of the arousal ratings for each word obtained in the whole group on a 5-point scale indicated by a SAM scale.,,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
Riegel-2015-AffectiveRatings-POLISH_IMAGEABILITY_MEAN_MALE,Riegel-2015-AffectiveRatings,pol,,This is the mean of the imageability ratings for each word obtained in the group of men on a 5-point scale indicated by a SAM scale.,male,,ratings,mean,user,imageability,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Riegel-2015-AffectiveRatings-POLISH_IMAGEABILITY_MEAN_FEMALE,Riegel-2015-AffectiveRatings,pol,,This is the mean of the imageanility ratings for each word obtained in the group of women on a 7-point scale.,female,,ratings,mean,user,imageability,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Riegel-2015-AffectiveRatings-POLISH_IMAGEABILITY_MEAN,Riegel-2015-AffectiveRatings,pol,,This is the mean of the imageability ratings for each word obtained in the whole group on a 7-point scale.,,,ratings,mean,user,imageability,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Scott-2019-Ratings-ENGLISH_AROUSAL_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 9 Arousal is a measure of excitement versus calmness.,,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Scott-2019-Ratings-ENGLISH_VALENCE_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 9 Valence is a measure of value or worth.,,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Scott-2019-Ratings-ENGLISH_DOMINANCE_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 9 Dominance is a measure of the degree of control you feel.,,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Scott-2019-Ratings-ENGLISH_CONCRETENESS_MEAN,Scott-2019-Ratings,eng,,"Number of Scale Points: 7 Concreteness is a measure of how concrete or abstract something is. A word is CONCRETE if it represents something that exists in a definite physical form in the real world. In contrast, a word is ABSTRACT if it represents more of a concept or idea.",,,ratings,mean,user,concreteness,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Scott-2019-Ratings-ENGLISH_IMAGEABILITY_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 7 Imageability is a measure of how easy or difficult something is to imagine.,,,ratings,mean,user,imageability,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Scott-2019-Ratings-ENGLISH_FAMILIARITY_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 7 Familiarity is a measure of how familiar something is.,,,ratings,mean,user,familiarity,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Scott-2019-Ratings-ENGLISH_AOA_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 7 A words age of acquisition is the age at which that word was initially learned.,,,ratings,mean,user,AoA,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Scott-2019-Ratings-ENGLISH_SEM_SIZE_MEAN,Scott-2019-Ratings,eng,,"Number of Scale Points: 7 Size is a measure of somethings dimensions, magnitude, or extent. A word represents something BIG if it refers to things or concepts that are large. A word represents something SMALL if it refers to things or concepts that are little.",,,ratings,mean,user,semantic size,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Scott-2019-Ratings-ENGLISH_GENDER_ASSOCIATION_MEAN,Scott-2019-Ratings,eng,,Number of Scale Points: 7 A words gender is how strongly its meaning is associated with male or female behaviour.,,,ratings,mean,user,gender association,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
StadthagenGonzalez-2017-ValenceArousal-SPANISH_VALENCE_MEAN,StadthagenGonzalez-2017-ValenceArousal,spa,,This is the mean value of valence across all participants. Participants rated the words on a 9-point scale.,,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
StadthagenGonzalez-2017-ValenceArousal-SPANISH_AROUSAL_MEAN,StadthagenGonzalez-2017-ValenceArousal,spa,,This is the mean value of arousal across all participants. Participants rated the words on a 9-point scale.,,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Starostin-2000-Sense-SENSES,Starostin-2000-Sense,eng,,The relations to a sense for a given word.,,,relations,linguistic,other,sense relation,"""string""",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across all participants.,,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across all participants.,,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across all participants.,,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN_MALE,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across male participants.,male,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN_FEMALE,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across female participants.,female,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN_MALE,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across male participants.,male,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN_FEMALE,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across female participants.,female,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN_MALE,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across male participants.,male,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN_FEMALE,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across female participants.,female,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN_YOUNG,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across young participants (less than 30 years old).,young,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN_OLD,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across old participants (greater than 30 years old).,old,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN_YOUNG,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across young participants (less than 30 years old).,young,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN_OLD,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across old participants (greater than 30 years old).,old,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN_YOUNG,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across young participants (less than 30 years old).,young,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN_OLD,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across old participants (greater than 30 years old).,old,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN_HIGH,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across participants with a high education.,high education,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_VALENCE_MEAN_LOW,Warriner-2013-AffectiveRatings,eng,,Mean value of valence ratings on a 9-point scale across participants with a low education.,low education,,ratings,mean,user,valence,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN_HIGH,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across participants with a high education.,high education,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_AROUSAL_MEAN_LOW,Warriner-2013-AffectiveRatings,eng,,Mean value of arousal ratings on a 9-point scale across participants with a low education.,low education,,ratings,mean,user,arousal,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN_HIGH,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across participants with a high education.,high education,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Warriner-2013-AffectiveRatings-ENGLISH_DOMINANCE_MEAN_LOW,Warriner-2013-AffectiveRatings,eng,,Mean value of dominance ratings on a 9-point scale across participants with a low education.,low education,,ratings,mean,user,dominance,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""9""}",
Cortese-2008-AoA-ENGLISH_AOA_MEAN,Cortese-2008-AoA,eng,,This is the mean value of age-of-acquisition ratings on a 7-point scale.,,,ratings,mean,user,AoA,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
Keuleers-2012-LexicalDecision-ENGLISH_RT_MEAN,Keuleers-2012-LexicalDecision,eng,,The average reaction time to the stimulus (correct trials only).,reaction time,,norms,mean,user,lexical decision,"""decimal""",
Keuleers-2012-LexicalDecision-ENGLISH_RT_ZSCORE,Keuleers-2012-LexicalDecision,eng,,"The average standardized reaction time (RT). Standardized RTs were calculated separately for all levels of participant, block, and lexicality (e.g., all RTs to correct word trials in block 1 by participant 1).",reaction time,,norms,standardized,user,lexical decision,"""decimal""",
Keuleers-2012-LexicalDecision-ENGLISH_ACCURACY_PERCENTAGE,Keuleers-2012-LexicalDecision,eng,,Average accuracy for the stimulus.,accuracy,,norms,percentage,user,lexical decision,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""1""}",
Ferrand-2010-LexicalDecision-FRENCH_RT_MEAN,Ferrand-2010-LexicalDecision,fra,,The average reaction time to the stimulus (correct trials only).,reaction time,,norms,mean,user,lexical decision,"""decimal""",
Ferrand-2010-LexicalDecision-FRENCH_RT_ZSCORE,Ferrand-2010-LexicalDecision,fra,,"The average standardized reaction time (RT). Standardized RTs were calculated separately for all levels of participant, block, and lexicality (e.g., all RTs to correct word trials in block 1 by participant 1).",reaction time,,norms,standardized,user,lexical decision,"""decimal""",
GonzalezNosti-2014-LexicalDecision-SPANISH_AOA_MEAN,GonzalezNosti-2014-LexicalDecision,spa,,"Mean value of AoA ratings on a 7-point Likert scale in which 1 corresponded to ages between 0 and 2 years old, 2 to ages between 2 and 4, and so on up to 7, which corresponded to ages over 12 years old.",,,ratings,mean,user,AoA,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""7""}",
GonzalezNosti-2014-LexicalDecision-SPANISH_RT_MEAN,GonzalezNosti-2014-LexicalDecision,spa,,The average reaction time to the stimulus (correct trials only).,reaction time,,norms,mean,user,lexical decision,"""decimal""",
Tsang-2018-LexicalDecision-CHINESE_RT_MEAN,Tsang-2018-LexicalDecision,zho,,Mean reaction time across participants.,reaction time,,norms,mean,user,lexical decision,"""decimal""",
Tsang-2018-LexicalDecision-CHINESE_RT_ZSCORE,Tsang-2018-LexicalDecision,zho,,Mean standardized reaction time across participants.,reaction time,,norms,standardized,user,lexical decision,"""decimal""",
Tsang-2018-LexicalDecision-CHINESE_STROKE,Tsang-2018-LexicalDecision,zho,,Total number of strokes of the whole-word.,,,norms,cardinality,meta,strokes,"""nonNegativeInteger""",
Keuleers-2015-Prevalence-DUTCH_ACCURACY_PERCENTAGE,Keuleers-2015-Prevalence,nld,,Average accuracy for the stimulus.,accuracy,,ratings,percentage,user,familiarity,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""1""}",
Keuleers-2015-Prevalence-DUTCH_PREVALENCE,Keuleers-2015-Prevalence,nld,,"The word prevalence (number of people who know the word) across nearly 300,000 participants.",prevalence,,ratings,normalized,user,familiarity,"""decimal""",
StadthagenGonzalez-2018-DiscreteEmotions-SPANISH_HAPPINESS_MEAN,StadthagenGonzalez-2018-DiscreteEmotions,spa,,Mean value for all valid responses a 5-point scale with 1 (not at all) and 5 (extremely) in the emotional category happiness.,,,ratings,mean,user,happiness,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
StadthagenGonzalez-2018-DiscreteEmotions-SPANISH_DISGUST_MEAN,StadthagenGonzalez-2018-DiscreteEmotions,spa,,Mean value for all valid responses a 5-point scale with 1 (not at all) and 5 (extremely) in the emotional category disgust.,,,ratings,mean,user,disgust,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""5""}",
